name_eng,rating,studio,kind,main_genre,secondary_genre,year,quarter,status,total_episodes,episodes_aired,duration_min,positive_count_r,negative_count_r,planned,score,success
Hellsing,1,11,0,22,34,2001,4,0,13,0,23,25236,4501,19104,7.49,1
Gad Guard,2,11,0,37,17,2003,2,0,26,0,25,47,35,603,6.67,0
Noir,2,17,0,34,44,2001,2,0,26,0,24,1125,484,6240,7.3,1
Mahoutsukai ni Taisetsu na Koto,2,5,0,37,44,2003,1,0,12,0,24,160,116,2091,6.73,0
Kiddy Grade,0,11,0,34,21,2002,4,0,24,0,23,162,97,1142,7.21,1
Love♥Love?,0,30,0,11,36,2004,2,0,9,0,14,29,60,591,5.87,0
Mahoromatic: Automatic Maiden,0,13,0,11,36,2001,4,0,12,0,24,985,378,2165,7.17,1
Mahoromatic: Motto Utsukushii Mono,0,13,0,11,44,2002,3,0,14,0,24,536,196,731,7.16,1
Viewtiful Joe,2,26,0,37,34,2004,4,0,51,0,20,3,0,102,6.74,0
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,1,29,0,0,39,2003,4,0,13,0,24,509,191,5044,7.13,1
Animal Yokochou,4,4,0,15,17,2005,4,0,51,0,23,2,0,68,6.92,0
Akane Maniax,2,58,2,11,36,2004,4,0,3,0,27,104,204,469,5.73,0
Angel Heart,2,29,0,22,34,2005,4,0,50,0,23,105,67,1162,7.29,1
Akage no Anne,4,6,0,44,32,1979,1,0,50,0,25,274,41,1950,7.7,1
Area 88 (TV),2,26,0,37,34,2004,1,0,12,0,25,102,46,551,7.01,1
Argento Soma,2,0,0,34,17,2000,4,0,25,0,25,256,133,2365,6.77,0
B'T X,2,29,0,37,17,1996,2,0,25,0,22,17,8,224,7.04,1
Grappler Baki (TV),2,26,0,37,34,2001,1,0,24,0,25,6610,1142,4875,7.46,1
Bakuten Shoot Beyblade,3,2,0,20,34,2001,1,0,51,0,23,203,142,572,6.73,0
Comic Party,2,14,0,11,44,2001,2,0,13,0,24,50,39,456,6.58,0
Seikai no Monshou,2,0,0,34,36,1999,1,0,13,0,26,1013,158,3145,7.67,1
D.C.S.S: Da Capo Second Season,2,22,0,11,44,2005,3,0,26,0,25,251,149,855,6.97,0
Dear Boys,2,7,0,37,44,2003,2,0,26,0,24,247,85,849,6.82,0
Di Gi Charat,4,2,0,11,0,1999,4,0,16,0,4,191,116,790,6.76,0
Divergence Eve,0,59,0,17,11,2003,3,0,13,0,24,44,51,500,5.91,0
Divergence Eve 2: Misaki Chronicles,2,59,0,17,44,2004,1,0,13,0,24,28,30,239,6.3,0
Dragon Drive,3,2,0,37,34,2002,3,0,38,0,25,54,23,359,6.71,0
Grenadier: Hohoemi no Senshi,2,26,0,37,34,2004,4,0,12,0,25,984,588,1898,6.7,0
.hack//Tasogare no Udewa Densetsu,2,17,0,37,17,2003,1,0,12,0,23,199,270,833,6.58,0
.hack//Liminality,2,17,2,14,21,2002,2,0,4,0,33,154,179,518,6.6,0
3x3 Eyes,1,3,2,34,0,1991,3,0,4,0,29,166,135,1118,6.74,0
Cinderella Boy,2,60,0,22,34,2003,2,0,13,0,25,33,26,308,6.3,0
Mirai Shounen Conan,2,6,0,17,44,1978,2,0,26,0,29,561,95,3521,8.08,1
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,4,14,0,11,43,1998,2,0,48,0,7,241,132,493,6.9,0
Aa! Megami-sama! Movie,2,18,1,22,11,2000,4,0,1,0,106,700,214,1524,7.55,1
Abashiri Ikka,0,8,2,37,34,1991,2,0,4,0,18,52,24,356,5.35,0
